record_id,title,authors,year,journal,language,study_design,population,outcome,time_anchor,doi,pmid,pmcid,arxiv_id,landing_url,source_databases,retrieved_at,screening_status,exclusion_reason,evidence_stream,relevance_score,quality_grade,verification_status,core25_flag,fulltext40_flag,first15_flag,legacy_seed_flag
R011,Worsening Heart Failure Following Admission for Acute Heart Failure: A Pooled Analysis of the PROTECT and RELAX-AHF Studies.,Davison BA; Metra M; Cotter G; Massie BM; Cleland JGF; Dittrich HC; Edwards C; Filippatos G; Givertz MM; Greenberg B; Ponikowski P; Voors AA; O'Connor CM; Teerlink JR; PROTECT and RELAX-AHF Executive Committees,2015,JACC. Heart failure,English,randomized trial/secondary analysis,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",index AHF admission; in-hospital post-baseline worsening,10.1016/j.jchf.2015.01.007,25951761,,,https://doi.org/10.1016/j.jchf.2015.01.007,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,fulltext40_priority,,AHF_WHF_outcome_definition,8,B,verified_T1_dual,false,true,false,false
R012,"Worsening heart failure, a critical event during hospital admission for acute heart failure: results from the VERITAS study.",Cotter G; Metra M; Davison BA; Senger S; Bourge RC; Cleland JG; Jondeau G; Krum H; O'Connor CM; Parker JD; Torre-Amione G; van Veldhuisen DJ; Milo O; Kobrin I; Rainisio M; McMurray JJ; Teerlink JR; VERITAS Investigators,2014,European journal of heart failure,English,randomized trial/secondary analysis,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",index AHF admission; in-hospital post-baseline worsening,10.1002/ejhf.186,25371147,,,https://doi.org/10.1002/ejhf.186,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_WHF_outcome_definition,6,B,verified_T1_dual,false,false,false,false
R013,In-hospital worsening heart failure: a clinically relevant endpoint?,Clark AL; Cherif M; McDonagh TA; Squire IB,2018,ESC heart failure,English,narrative/scoping review,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",index AHF admission; in-hospital post-baseline worsening,10.1002/ehf2.12195,29385659,PMC5793965,,https://doi.org/10.1002/ehf2.12195,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_WHF_outcome_definition,6,B-,verified_T1_dual,false,false,false,false
R014,Worsening heart failure in 'real-world' clinical practice: predictors and prognostic impact.,AlFaleh H; Elasfar AA; Ullah A; AlHabib KF; Hersi A; Mimish L; Almasood A; Al Ghamdi S; Ghabashi A; Malik A; Hussein GA; Al-Murayeh M; Abuosa A; Al Habeeb W; Kashour T,2017,European journal of heart failure,English,prospective cohort,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,in-hospital worsening heart failure / treatment intensification,index AHF admission; in-hospital post-baseline worsening,10.1002/ejhf.515,27071748,,,https://doi.org/10.1002/ejhf.515,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,fulltext40_priority,,AHF_WHF_outcome_definition,8,B,verified_T1_dual,false,true,false,false
R015,Differences in health care use and outcomes by the timing of in-hospital worsening heart failure.,Cooper LB; Hammill BG; Sharma PP; DeVore AD; Mentz RJ; Fonarow GC; Pang PS; Curtis LH; Hernandez AF,2015,American heart journal,English,methodological study,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",index AHF admission; in-hospital post-baseline worsening,10.1016/j.ahj.2015.09.001,26678634,PMC4684593,,https://doi.org/10.1016/j.ahj.2015.09.001,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_WHF_outcome_definition,6,B-,verified_T1_dual,false,false,false,false
R016,In-hospital worsening heart failure.,Butler J; Gheorghiade M; Kelkar A; Fonarow GC; Anker S; Greene SJ; Papadimitriou L; Collins S; Ruschitzka F; Yancy CW; Teerlink JR; Adams K; Cotter G; Ponikowski P; Felker GM; Metra M; Filippatos G,2015,European journal of heart failure,English,clinical observational/methodological article,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",index AHF admission; in-hospital post-baseline worsening,10.1002/ejhf.333,26235192,,,https://doi.org/10.1002/ejhf.333,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_WHF_outcome_definition,6,B-,verified_T1_dual,false,false,false,false
R017,The Impact of Worsening Heart Failure in the United States.,Cooper LB; DeVore AD; Michael Felker G,2015,Heart failure clinics,English,prediction model development/validation,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,"definition, timing, incidence, or prognosis of worsening heart failure",index AHF admission; in-hospital post-baseline worsening,10.1016/j.hfc.2015.07.004,26462100,PMC4607925,,https://doi.org/10.1016/j.hfc.2015.07.004,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_WHF_outcome_definition,6,B,verified_T1_dual,false,false,false,false
R018,Use of the ADHERE Risk Model as a Predictor of Risk of in-Hospital Worsening Heart Failure in a Cohort.,Bernardes DS; Santos MS; Mantovani VM; Almeida Neto OP; Goldraich LA; Clausell N; Rabelo-Silva ER,2023,Arquivos brasileiros de cardiologia,English,retrospective cohort,adult hospitalized acute/decompensated heart failure or worsening-heart-failure cohorts,in-hospital worsening heart failure / treatment intensification,index AHF admission; in-hospital post-baseline worsening,10.36660/abc.20220584,37672471,PMC10519228,,https://doi.org/10.36660/abc.20220584,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_WHF_outcome_definition,6,B,verified_T1_dual,false,false,false,false
R019,Prediction of cardiac worsening through to cardiogenic shock in patients with acute heart failure.,Beer BN; Kellner C; Sundermeyer J; Besch L; Dettling A; Kirchhof P; Blankenberg S; Magnussen C; Schrage B,2024,ESC heart failure,English,prospective cohort,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,incident/progressive cardiogenic shock or low-cardiac-output deterioration,hospital/CICU admission preceding incident or progressive shock,10.1002/ehf2.14792,38632837,PMC11287305,,https://doi.org/10.1002/ehf2.14792,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,provisional_core25,,AHF_to_cardiogenic_shock,10,A-,verified_T1_dual,true,true,true,true
R020,Development and external validation of a dynamic risk score for early prediction of cardiogenic shock in cardiac intensive care units using machine learning.,Hu Y; Lui A; Goldstein M; Sudarshan M; Tinsay A; Tsui C; Maidman SD; Medamana J; Jethani N; Puli A; Nguy V; Aphinyanaphongs Y; Kiefer N; Smilowitz NR; Horowitz J; Ahuja T; Fishman GI; Hochman J; Katz S; Bernard S; Ranganath R,2024,European heart journal. Acute cardiovascular care,English,prediction model development/validation,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,incident/progressive cardiogenic shock or low-cardiac-output deterioration,repeated landmark/update times during hospitalization,10.1093/ehjacc/zuae037,38518758,PMC11214586,,https://doi.org/10.1093/ehjacc/zuae037,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,provisional_core25,,AHF_to_cardiogenic_shock,10,A-,verified_T1_dual,true,true,true,true
R021,Using Machine Learning for Early Prediction of Cardiogenic Shock in Patients With Acute Heart Failure.,Rahman F; Finkelstein N; Alyakin A; Gilotra NA; Trost J; Schulman SP; Saria S,2022,Journal of the Society for Cardiovascular Angiography & Interventions,English,narrative/scoping review,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,incident/progressive cardiogenic shock or low-cardiac-output deterioration,hospital/CICU admission preceding incident or progressive shock,10.1016/j.jscai.2022.100308,39131966,PMC11307874,,https://doi.org/10.1016/j.jscai.2022.100308,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,provisional_core25,,AHF_to_cardiogenic_shock,10,A-,verified_T1_dual,true,true,true,true
R022,Early Prediction of Cardiogenic Shock Using Machine Learning,"Chang, Yale; Antonescu, Corneliu; Ravindranath, Shreyas; Dong, Junzi; Lu, Mingyu; Vicario, Francesco; Wondrely, Lisa; Thompson, Pam; Swearingen, Dennis; Acharya, Deepak",2022,Frontiers in Cardiovascular Medicine,English,retrospective cohort,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,incident/progressive cardiogenic shock or low-cardiac-output deterioration,hospital/CICU admission preceding incident or progressive shock,10.3389/fcvm.2022.862424,35911549,PMC9326048,,https://doi.org/10.3389/fcvm.2022.862424,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,provisional_core25,,AHF_to_cardiogenic_shock,10,A-,verified_T1_dual,true,true,true,true
R023,Predictors of Progression to Low Cardiac Output or Cardiogenic Shock in Patients Hospitalized for Acute Heart Failure.,Baro Vila R; Burgos LM; Ballari F; de Bortoli MA; Diez M,2026,The American journal of cardiology,English,prospective cohort,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,incident/progressive cardiogenic shock or low-cardiac-output deterioration,hospital/CICU admission preceding incident or progressive shock,10.1016/j.amjcard.2026.03.076,42019741,,,https://doi.org/10.1016/j.amjcard.2026.03.076,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,provisional_core25,,AHF_to_cardiogenic_shock,9,A-,verified_T1_dual,true,true,false,false
R024,Artificial Intelligence in the Early Prediction of Cardiogenic Shock in Acute Heart Failure or Myocardial Infarction Patients: A Systematic Review and Meta-Analysis.,Popat A; Yadav S; Patel SK; Baddevolu S; Adusumilli S; Rao Dasari N; Sundarasetty M; Anand S; Sankar J; Jagtap YG,2023,Cureus,English,systematic review,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,incident/progressive cardiogenic shock or low-cardiac-output deterioration,hospital/CICU admission preceding incident or progressive shock,10.7759/cureus.50395,38213372,PMC10783597,,https://doi.org/10.7759/cureus.50395,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,fulltext40_priority,,AHF_to_cardiogenic_shock,8,A,verified_T1_dual,false,true,false,false
R025,SCAI Cardiogenic Shock Classification for Predicting In-Hospital and Long-Term Mortality in Acute Heart Failure.,Burgos LM; Baro Vila RC; Botto F; Diez M,2022,Journal of the Society for Cardiovascular Angiography & Interventions,English,prospective cohort,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,cardiogenic shock severity/outcomes (supporting phenotype evidence),hospital/CICU admission preceding incident or progressive shock,10.1016/j.jscai.2022.100496,39132349,PMC11307609,,https://doi.org/10.1016/j.jscai.2022.100496,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,provisional_core25,,AHF_to_cardiogenic_shock,9,A-,verified_T1_dual,true,true,false,false
R026,Machine Learning for Prediction of Outcomes in Cardiogenic Shock.,Rong F; Xiang H; Qian L; Xue Y; Ji K; Yin R,2022,Frontiers in cardiovascular medicine,English,prediction model development/validation,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,cardiogenic shock severity/outcomes (supporting phenotype evidence),hospital/CICU admission preceding incident or progressive shock,10.3389/fcvm.2022.849688,35600489,PMC9120613,,https://doi.org/10.3389/fcvm.2022.849688,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,fulltext40_priority,,AHF_to_cardiogenic_shock,8,B,verified_T1_dual,false,true,false,false
R027,Predicting survival in patients with acute decompensated heart failure complicated by cardiogenic shock.,Morici N; Viola G; Antolini L; Alicandro G; Dal Martello M; Sacco A; Bottiroli M; Pappalardo F; Villanova L; De Ponti L; La Vecchia C; Frigerio M; Oliva F; Fried J; Colombo P; Garan AR,2021,International journal of cardiology. Heart & vasculature,English,observational cohort,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,cardiogenic shock severity/outcomes (supporting phenotype evidence),hospital/CICU admission preceding incident or progressive shock,10.1016/j.ijcha.2021.100809,34141863,PMC8188054,,https://doi.org/10.1016/j.ijcha.2021.100809,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_to_cardiogenic_shock,6,B,verified_T1_dual,false,false,false,false
R028,Cardiogenic Shock Classification to Predict Mortality in the Cardiac Intensive Care Unit.,Jentzer JC; van Diepen S; Barsness GW; Henry TD; Menon V; Rihal CS; Naidu SS; Baran DA,2019,Journal of the American College of Cardiology,English,retrospective cohort,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,cardiogenic shock severity/outcomes (supporting phenotype evidence),hospital/CICU admission preceding incident or progressive shock,10.1016/j.jacc.2019.07.077,31548097,,,https://doi.org/10.1016/j.jacc.2019.07.077,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,provisional_core25,,AHF_to_cardiogenic_shock,9,A-,verified_T1_dual,true,true,false,false
R029,Shock in the cardiac intensive care unit: Changes in epidemiology and prognosis over time.,Jentzer JC; Ahmed AM; Vallabhajosyula S; Burstein B; Tabi M; Barsness GW; Murphy JG; Best PJ; Bell MR,2021,American heart journal,English,methodological study,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,incident/progressive cardiogenic shock or low-cardiac-output deterioration,hospital/CICU admission preceding incident or progressive shock,10.1016/j.ahj.2020.10.054,33257304,,,https://doi.org/10.1016/j.ahj.2020.10.054,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,fulltext40_priority,,AHF_to_cardiogenic_shock,8,B-,verified_T1_dual,false,true,false,false
R030,Acute heart failure and cardiogenic shock: a multidisciplinary practical guidance.,Mebazaa A; Tolppanen H; Mueller C; Lassus J; DiSomma S; Baksyte G; Cecconi M; Choi DJ; Cohen Solal A; Christ M; Masip J; Arrigo M; Nouira S; Ojji D; Peacock F; Richards M; Sato N; Sliwa K; Spinar J; Thiele H; Yilmaz MB; Januzzi J,2016,Intensive care medicine,English,guideline/consensus,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,incident/progressive cardiogenic shock or low-cardiac-output deterioration,hospital/CICU admission preceding incident or progressive shock,10.1007/s00134-015-4041-5,26370690,,,https://doi.org/10.1007/s00134-015-4041-5,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_to_cardiogenic_shock,6,A,verified_T1_dual,false,false,false,false
R031,Contemporary Management of Cardiogenic Shock: A Scientific Statement From the American Heart Association,van Diepen S; Katz JN; Albert NM; Henry TD; Jacobs AK; Kapur NK; Kilic A; Menon V; Ohman EM; Sweitzer NK; Thiele H; Washam JB; Cohen MG; American Heart Association Council on Clinical Cardiology; Council on Cardiovascular and Stroke Nursing; Council on Quality of Care and Outcomes Research; and Mission: Lifeline,2017,Circulation,English,guideline/consensus,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,incident/progressive cardiogenic shock or low-cardiac-output deterioration,hospital/CICU admission preceding incident or progressive shock,10.1161/cir.0000000000000525,28923988,,,https://doi.org/10.1161/cir.0000000000000525,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_to_cardiogenic_shock,6,A,verified_T1_dual,false,false,false,false
R032,SCAI clinical expert consensus statement on the classification of cardiogenic shock,"Baran, David A.; Grines, Cindy L.; Bailey, Steven; Burkhoff, Daniel; Hall, Shelley A.; Henry, Timothy D.; Hollenberg, Steven M.; Kapur, Navin K.; O'Neill, William; Ornato, Joseph P.; Stelling, Kelly; Thiele, Holger; van Diepen, Sean; Naidu, Srihari S.",2019,Catheterization and Cardiovascular Interventions,English,guideline/consensus,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,incident/progressive cardiogenic shock or low-cardiac-output deterioration,hospital/CICU admission preceding incident or progressive shock,10.1002/ccd.28329,31104355,,,https://doi.org/10.1002/ccd.28329,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,fulltext40_priority,,AHF_to_cardiogenic_shock,8,A,verified_T1_dual,false,true,false,false
R033,Optimized Risk Score to Predict Mortality in Patients With Cardiogenic Shock in the Cardiac Intensive Care Unit.,Yamga E; Mantena S; Rosen D; Bucholz EM; Yeh RW; Celi LA; Ustun B; Butala NM,2023,Journal of the American Heart Association,English,prediction model development/validation,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,cardiogenic shock severity/outcomes (supporting phenotype evidence),hospital/CICU admission preceding incident or progressive shock,10.1161/jaha.122.029232,37345819,PMC10356069,,https://doi.org/10.1161/jaha.122.029232,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_to_cardiogenic_shock,6,B,verified_T1_dual,false,false,false,false
R034,COMPARISON OF THE PREDICTIVE PERFORMANCE OF CARDIOGENIC SHOCK SCORES IN A REAL-WORLD LATIN AMERICA COUNTRY.,Ortega-Hernández J; González-Pacheco H; Gopar-Nieto R; Araiza-Garaygordobil D; Sierra Lara-Martínez D; Briseño De La Cruz JL; Mendoza-García S; Altamirano-Castillo A; Montañez-Orozco Á; Baeza-Herrera LA; Hernández-Montfort J; Aguilar-Montaño KM; Soliz Uriona LA; Meza López JÁF; Lizano Loría CA; Arias-Mendoza A,2023,"Shock (Augusta, Ga.)",English,guideline/consensus,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,incident/progressive cardiogenic shock or low-cardiac-output deterioration,hospital/CICU admission preceding incident or progressive shock,10.1097/shk.0000000000002091,36821419,,,https://doi.org/10.1097/shk.0000000000002091,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_to_cardiogenic_shock,6,A,verified_T1_dual,false,false,false,false
R035,Machine Learning Approaches for Phenotyping in Cardiogenic Shock and Critical Illness: Part 2 of 2.,Jentzer JC; Rayfield C; Soussi S; Berg DD; Kennedy JN; Sinha SS; Baran DA; Brant E; Mebazaa A; Billia F; Kapur NK; Henry TD; Lawler PR,2022,JACC. Advances,English,narrative/scoping review,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,incident/progressive cardiogenic shock or low-cardiac-output deterioration,hospital/CICU admission preceding incident or progressive shock,10.1016/j.jacadv.2022.100126,38939698,PMC11198618,,https://doi.org/10.1016/j.jacadv.2022.100126,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_to_cardiogenic_shock,6,B-,verified_T1_dual,false,false,false,false
R036,Supervised machine learning including environmental factors to predict in-hospital outcomes in acute heart failure patients.,Sibilia B; Toupin S; Bouali N; Brette JB; Ramonatxo A; Schurtz G; Hamzi K; Trimaille A; Gall E; Piliero N; Unger A; Andrieu S; Gonçalves T; Picard F; Roule V; Roubille F; Houssany-Pissot S; Bouchot O; Aboyans V; Vasram RR; Bochaton T; Logeart D; Solal AC; Cartailler J; Mebazaa A; Dillinger JG; Henry P; Pezel T,2025,European heart journal. Digital health,English,prospective cohort,adult acute heart failure and/or cardiac intensive care/cardiogenic shock cohorts,cardiogenic shock severity/outcomes (supporting phenotype evidence),hospital/CICU admission preceding incident or progressive shock,10.1093/ehjdh/ztae094,40110211,PMC11914725,,https://doi.org/10.1093/ehjdh/ztae094,Crossref;Europe PMC;PubMed,2026-07-29T13:18:31+00:00,title_abstract_included_reserve,,AHF_to_cardiogenic_shock,6,B,verified_T1_dual,false,false,false,false
