pool_record_key,title,year,doi,pmid,query_ids,screening_stage,exclusion_reason
doi:10.1016/j.legalmed.2026.102931,Artificial intelligence for short-term post-mortem interval estimation: a systematic review with PROBAST and TRIPOD+AI appraisal,2026,10.1016/j.legalmed.2026.102931,,CR5_prediction_methods,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.3389/fdgth.2026.1881138,Association between clinical characteristics within 6 h of ICU admission and 30-day mortality risk in immunocompromised sepsis patients: development and validation of a machine learning model based on the MIMIC-IV database.,2026,10.3389/fdgth.2026.1881138,42516412,Q7_MIMIC_transportability,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1186/s13054-026-05920-2,Association between initial norepinephrine dose and minute by minute mean arterial pressure.,2026,10.1186/s13054-026-05920-2,41749261,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,insufficient_topic_relevance
doi:10.1186/s12876-025-04521-7,Association between pan-immune-inflammation and in-hospital mortality in critically ill patients with acute pancreatitis: a cohort study from the MIMIC-IV database.,2026,10.1186/s12876-025-04521-7,41486130,Q7_MIMIC_transportability,pass1_title_metadata,mortality_only_without_early_deterioration_focus
doi:10.1016/j.ijmedinf.2026.106267,Association between the platelet to white blood cell ratio and short term mortality in critically ill patients with atherosclerotic cardiovascular disease: A retrospective study and machine learning with external validation.,2026,10.1016/j.ijmedinf.2026.106267,41506173,Q7_MIMIC_transportability,pass1_title_metadata,mortality_only_without_early_deterioration_focus
doi:10.2147/dddt.s598443,Association of Dexmedetomidine Exposure with Long-Term Mortality in Patients with Dialysis-Requiring Acute Kidney Injury: A Propensity Score-Matched Retrospective Cohort Study.,2026,10.2147/dddt.s598443,42077588,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,mortality_only_without_early_deterioration_focus
doi:10.3389/fcvm.2026.1825969,Association of a dual-index phenotype and early ICU reassessment with 28-day in-hospital mortality in cardiogenic shock: a single-center observational cohort study.,2026,10.3389/fcvm.2026.1825969,42222100,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1016/j.jss.2025.11.035,Association of the Lactate-to-Albumin Ratio With All-Cause Mortality in Trauma and Surgical Intensive Care Patients: A Retrospective Study.,2026,10.1016/j.jss.2025.11.035,41411770,Q7_MIMIC_transportability,pass1_title_metadata,adjacent_perioperative_or_procedure_population
doi:10.1016/j.iccn.2026.104475,Associations between smart infusion pump-electronic health record interoperability and healthcare outcomes: A systematic review,2026,10.1016/j.iccn.2026.104475,,CR4_dynamic_EHR,pass1_title_metadata,insufficient_topic_relevance
doi:10.1016/j.cardfail.2026.05.021,Automated SCAI Staging as a Novel Decision Aid in Cardiogenic Shock Management.,2026,10.1016/j.cardfail.2026.05.021,42276520,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1371/journal.pone.0352659,Blood urea nitrogen to albumin ratio and mortality in critically ill patients with cardiogenic shock.,2026,10.1371/journal.pone.0352659,42467696,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.64898/2026.05.03.26352335,Calibration Drift Under Cross-Institutional Deployment: An External Validation Framework for ICU Mortality Prediction Across MIMIC-IV and eICU,2026,10.64898/2026.05.03.26352335,,CR5_prediction_methods,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.21203/rs.3.rs-9602675/v1,Calibration Drift Under Cross-Institutional Deployment: An External Validation Framework for ICU Mortality Prediction Across MIMIC-IV and eICU,2026,10.21203/rs.3.rs-9602675/v1,,CR5_prediction_methods,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.2139/ssrn.6703578,Calibration Drift Under Cross-Institutional Deployment: An External Validation Framework for ICU Mortality Prediction Across MIMIC-IV and eICU,2026,10.2139/ssrn.6703578,,CR6_transportability,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1093/eschf/xvag066,Cardiogenic shock in the course of myocardial infarction: the results of the Shock-POL registry.,2026,10.1093/eschf/xvag066,41746839,Q2_AHF_to_CS,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1016/b978-0-443-11611-7.00604-6,Cardiovascular Intensive Care,2026,10.1016/b978-0-443-11611-7.00604-6,,CR3_ICU_HD,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.2139/ssrn.6193319,The Case for Independent AI Assurance in Education: From Self-Attestation to External Validation AI Governance in Education Series Memorandum No. 5,2026,10.2139/ssrn.6193319,,CR5_prediction_methods,pass1_title_metadata,insufficient_topic_relevance
doi:10.1016/j.artmed.2026.103478,Causally-informed deep learning towards explainable and generalizable outcome prediction in critical care.,2026,10.1016/j.artmed.2026.103478,42335637,Q4_ICU_hemodynamic_deterioration,pass1_title_metadata,insufficient_topic_relevance
doi:10.1016/j.cjco.2025.12.008,Changes in the Heart Sounds Between Discharge and Initial Follow-Up and Subsequent Cardiac Events in Patients with Acute Decompensated Heart Failure.,2026,10.1016/j.cjco.2025.12.008,42007198,Q1_AHF_WHF_definition,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1111/acem.70317,Characteristics and Short-Term Outcomes of Patients With Acute Pulmonary Embolism Requiring Intubation.,2026,10.1111/acem.70317,42084455,Q4_ICU_hemodynamic_deterioration,pass1_title_metadata,insufficient_topic_relevance
doi:10.1093/eurheartj/ehag394,Chimeric antigen receptor T-cell therapy and cardiovascular outcomes in US Medicare beneficiaries.,2026,10.1093/eurheartj/ehag394,42199067,Q2_AHF_to_CS,pass1_title_metadata,insufficient_topic_relevance
doi:10.1016/j.ekir.2026.106659,Clarifying External Validation Before Clinical Use of the Pediatric CKD Risk-Prediction Tool,2026,10.1016/j.ekir.2026.106659,,CR6_transportability,pass1_title_metadata,ineligible_population_pediatric_or_pregnancy
doi:10.1007/s00246-026-04181-8,Clinical Applications of Data Science and Machine Learning in the Pediatric Cardiac Intensive Care Unit.,2026,10.1007/s00246-026-04181-8,41677864,Q4_ICU_hemodynamic_deterioration,pass1_title_metadata,ineligible_population_pediatric_or_pregnancy
doi:10.1016/j.jacadv.2025.102522,Clinical Characteristics and Outcomes of Patients With Takotsubo Syndrome Complicated With Acute Mitral Regurgitation.,2026,10.1016/j.jacadv.2025.102522,41564735,Q2_AHF_to_CS,pass1_title_metadata,insufficient_topic_relevance
doi:10.1186/s40001-025-03817-4,A clinical prediction model for central venous catheter-associated bloodstream infections: derivation and validation from the MIMIC-IV cohort,2026,10.1186/s40001-025-03817-4,,CR6_transportability,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.21037/gs-2026-0217,"Clinical transportability, calibration drift, and local updating of a B-mode ultrasound radiomics-clinical prediction model for occult high-volume central lymph node metastasis in cN0 papillary thyroid carcinoma: development, temporal validation, and external validation",2026,10.21037/gs-2026-0217,,CR6_transportability,pass1_title_metadata,unrelated_clinical_domain
doi:10.1093/jimmun/vkaf377,"Comment on “Toward clinically actionable explainable AI in pulmonary arterial hypertension: Endpoints, calibration, and external validation”",2026,10.1093/jimmun/vkaf377,,CR5_prediction_methods,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1161/jaha.125.046820,Comorbidity Clusters in Acute Heart Failure: Insights From the AMERICCAASS Registry.,2026,10.1161/jaha.125.046820,42037456,Q2_AHF_to_CS,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1128/spectrum.03713-25,Comparison and validation of multiple machine learning algorithms for predicting MDRO infection in catheter-related bloodstream patients: a multicenter cohort study.,2026,10.1128/spectrum.03713-25,41670376,Q7_MIMIC_transportability,pass1_title_metadata,insufficient_topic_relevance
doi:10.2196/83328,Complete Blood Count-Derived Inflammation Indices to Predict 3-Year All-Cause Mortality in Patients With Diabetes and Acute Myocardial Infarction in Critical Care: Retrospective Cohort Study With Single-Center External Validation.,2026,10.2196/83328,41818746,Q7_MIMIC_transportability,pass1_title_metadata,insufficient_topic_relevance
doi:10.2196/preprints.100441,Construction and External Validation of a Machine Learning Prediction Model for Depression Risk in Cardiac Patients (Preprint),2026,10.2196/preprints.100441,,CR6_transportability,pass1_title_metadata,insufficient_topic_relevance
doi:10.1016/j.ijmedinf.2025.106244,Construction and validation of a machine learning-based risk prediction model for invasive mechanical ventilation in AECOPD patients complicated with respiratory failure.,2026,10.1016/j.ijmedinf.2025.106244,41468640,Q7_MIMIC_transportability,pass1_title_metadata,no_transportability_or_external_validation_focus
doi:10.21203/rs.3.rs-9283012/v1,Construction and Validation of a Multimodal Imaging and Machine Learning–Based Prognostic Prediction Model for Aneurysmal Subarachnoid Hemorrhage: A Multicenter Retrospective Cohort Study (TRIPOD-AI Compliant),2026,10.21203/rs.3.rs-9283012/v1,,CR5_prediction_methods,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.2196/101732,Correction: Deep Learning for Age Estimation and Sex Prediction Using Mandibular-Cropped Cephalometric Images: Comparative Model Development and Validation Study,2026,10.2196/101732,,CR5_prediction_methods,pass1_title_metadata,insufficient_topic_relevance
doi:10.1017/cfl.2026.10043,"The crisis of the tripod of legal legitimacy: AI, governance and the shifting foundations of legitimacy",2026,10.1017/cfl.2026.10043,,CR5_prediction_methods,pass1_title_metadata,unrelated_clinical_domain
doi:10.1097/aln.0000000000005881,Critical Closing and Tissue Perfusion Pressures in Sepsis: Implications for Risk Stratification-A Retrospective Cohort Study.,2026,10.1097/aln.0000000000005881,41349003,Q7_MIMIC_transportability,pass1_title_metadata,no_transportability_or_external_validation_focus
doi:10.64898/2026.07.19.26358409,Cross-database validation reveals distinct layers of transportability in ICU delirium prediction,2026,10.64898/2026.07.19.26358409,,CR6_transportability,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1111/imj.70515,Crossover effect: causal machine learning reveals opposing mortality responses to mean arterial pressure targets among phenotypically distinct hypertensive patients with septic shock.,2026,10.1111/imj.70515,42367052,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.3389/fped.2026.1780766,Cumulative intravenous fluid volume in the first 24 hours and risk of respiratory deterioration in children hospitalized with community acquired pneumonia.,2026,10.3389/fped.2026.1780766,42038246,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,ineligible_population_pediatric_or_pregnancy
doi:10.1093/ehjqcco/qcaf044,Current epidemiology and management of acute heart failure: the multicenter prospective OFICA2 cohort.,2026,10.1093/ehjqcco/qcaf044,40579187,Q2_AHF_to_CS,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1016/j.jcrc.2026.155471,Current perspectives in cardiogenic shock.,2026,10.1016/j.jcrc.2026.155471,41655405,Q2_AHF_to_CS,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.2196/84984,Deep Learning for Age Estimation and Sex Prediction Using Mandibular-Cropped Cephalometric Images: Comparative Model Development and Validation Study,2026,10.2196/84984,,CR5_prediction_methods,pass1_title_metadata,insufficient_topic_relevance
doi:10.1038/s41746-026-02722-2,Deep learning models for acute kidney injury prediction: multi-center external validation and evaluation under simulated continuous monitoring conditions.,2026,10.1038/s41746-026-02722-2,42103942,Q7_MIMIC_transportability,pass1_title_metadata,insufficient_topic_relevance
doi:10.1007/s10916-025-02332-7,Deep Learning and Noninvasive Sensors for Detecting Physiological Dysregulation: A Scoping Review.,2026,10.1007/s10916-025-02332-7,41615529,Q4_ICU_hemodynamic_deterioration,pass1_title_metadata,insufficient_topic_relevance
doi:10.1109/icict68280.2026.11511154,Development and Comparative Validation of an Explainable AI-based Multisource Cancer Survival Prediction Model,2026,10.1109/icict68280.2026.11511154,,CR5_prediction_methods,pass1_title_metadata,unrelated_clinical_domain
doi:10.21203/rs.3.rs-9461913/v1,"Development and external validation of a dynamic landmark model for predicting acute kidney injury worsening in critical care: a multidatabase study using SICdb, MIMIC-IV, and eICU-CRD",2026,10.21203/rs.3.rs-9461913/v1,,CR6_transportability,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1097/md.0000000000049009,Development and external validation of an ICU mortality prediction model using routinely collected clinical data,2026,10.1097/md.0000000000049009,,CR6_transportability,pass1_title_metadata,insufficient_topic_relevance
doi:10.1002/brb3.71399,Development and External Validation of an Interpretable Machine Learning‐Based Prediction Model for Depressive Symptoms in Patients With Obstructive Sleep Apnea: A Multicenter Study,2026,10.1002/brb3.71399,,CR5_prediction_methods,pass1_title_metadata,insufficient_topic_relevance
doi:10.3390/jcm15145599,Development and External Validation of an Interpretable Machine Learning Framework for Predicting Pneumothorax-Associated Acute Kidney Injury: A Multicenter Retrospective Study.,2026,10.3390/jcm15145599,42513513,Q7_MIMIC_transportability,pass1_title_metadata,insufficient_topic_relevance
doi:10.21203/rs.3.rs-9998209/v1,Development and external validation of a laboratory-free clinical decision-support model for sepsis prediction at emergency department triage: a retrospective cohort study,2026,10.21203/rs.3.rs-9998209/v1,,CR6_transportability,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1016/j.dld.2026.01.226,Development and external validation of a machine learning model for predicting in-hospital mortality in acute liver failure.,2026,10.1016/j.dld.2026.01.226,41692645,Q6_prediction_reporting_validation;Q7_MIMIC_transportability,pass1_title_metadata,insufficient_topic_relevance
doi:10.21203/rs.3.rs-9168846/v1,Development and External Validation of a Risk Prediction Model for Hyperuricemia in Adolescents: A Multicenter Clinical Study,2026,10.21203/rs.3.rs-9168846/v1,,CR6_transportability,pass1_title_metadata,insufficient_topic_relevance
doi:10.3791/69738,Development and External Validation of a Web-Based Application for the Prediction of Pneumonia-Associated ARDS.,2026,10.3791/69738,41587222,Q7_MIMIC_transportability,pass1_title_metadata,insufficient_topic_relevance
doi:10.1186/s12877-026-07787-y,Development of a machine learning-based prediction model for hypothyroidism-associated delirium in elderly hypothyroid patients in the intensive care unit.,2026,10.1186/s12877-026-07787-y,42260388,Q7_MIMIC_transportability,pass1_title_metadata,no_transportability_or_external_validation_focus
doi:10.1016/j.injury.2025.112949,Development and multicenter validation of a machine learning model for postoperative sepsis risk in critically Ill traumatic spinal injury patients.,2026,10.1016/j.injury.2025.112949,41389427,Q7_MIMIC_transportability,pass1_title_metadata,unrelated_clinical_domain
doi:10.64898/2026.06.05.26353765,Development and Prospective Validation of Predictive Model for Early Hemodynamic Deterioration in Critical Care: A Multicenter Study,2026,10.64898/2026.06.05.26353765,,CR3_ICU_HD,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.21203/rs.3.rs-8723621/v1,Development and Temporal External Validation of an XGBoost-Based Clinical Prediction Model for PACU Hypoxemia in Elderly Thoracic Surgery Patients,2026,10.21203/rs.3.rs-8723621/v1,,CR6_transportability,pass1_title_metadata,insufficient_topic_relevance
doi:10.70514/978198300011-6,Development and Validation of Artificial Intelligence (AI) and AI Language Model Competencies,2026,10.70514/978198300011-6,,CR5_prediction_methods,pass1_title_metadata,insufficient_topic_relevance
doi:10.3389/fcell.2026.1862263,Development and validation of an explainable machine learning model for mortality prediction in ICU patients with lung cancer.,2026,10.3389/fcell.2026.1862263,42445719,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,unrelated_clinical_domain
doi:10.1016/j.ejrad.2025.112559,Development and validation of an interpretable machine learning model for predicting intraoperative HDI in PPGL based on intratumoral and peritumoral CT radiomics.,2026,10.1016/j.ejrad.2025.112559,41349198,Q4_ICU_hemodynamic_deterioration,pass1_title_metadata,unrelated_clinical_domain
doi:10.1007/s12028-025-02308-y,Development and Validation of Machine Learning Models for Predicting 7-Day Mortality in Critically Ill Patients with Traumatic Spinal Cord Injury: A Multicenter Retrospective Study.,2026,10.1007/s12028-025-02308-y,40563047,Q7_MIMIC_transportability,pass1_title_metadata,unrelated_clinical_domain
doi:10.1038/s41746-025-02316-4,Development and validation of a predictive model for extranodal natural killer/T-cell lymphoma.,2026,10.1038/s41746-025-02316-4,41495256,Q6_prediction_reporting_validation,pass1_title_metadata,generic_prediction_methods_outside_scope
doi:10.1111/jocn.70365,Diagnostic Prediction Models for Depression in Patients With Breast Cancer: A Systematic Review.,2026,10.1111/jocn.70365,42158993,Q6_prediction_reporting_validation,pass1_title_metadata,unrelated_clinical_domain
doi:10.31083/rcm47958,Diagnostic and Prognostic Value of Arterial Blood Gas and Electrolyte Analyses in Heart Failure.,2026,10.31083/rcm47958,41923741,Q2_AHF_to_CS,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.31449/inf.v50i9.12162,DL-PRWarnNeuro: A Transformer-Based Deep Learning Framework for Multimodal Patient Deterioration Prediction in Neurological Intensive Care,2026,10.31449/inf.v50i9.12162,,CR4_dynamic_EHR,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1186/s12879-026-13907-1,Dynamic changes in vasoactive-inotropic score and their prognostic value in severe sepsis and septic shock patients undergoing polymyxin B hemoperfusion: a real-world Asian ICU cohort study.,2026,10.1186/s12879-026-13907-1,42380846,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1016/j.jtct.2026.01.030,Dynamic Prediction of Intensive Care Unit Transfer and Critical Interventions After Pediatric Allogeneic Hematopoietic Stem Cell Transplantation.,2026,10.1016/j.jtct.2026.01.030,41581833,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,ineligible_population_pediatric_or_pregnancy
doi:10.1016/j.aicoj.2026.100091,Dyspnea as a marker of prognosis in immunocompromised patients with acute respiratory failure.,2026,10.1016/j.aicoj.2026.100091,42256211,Q3_HF_sepsis_mixed,pass1_title_metadata,insufficient_topic_relevance
doi:10.1097/shk.0000000000002813,Early Immune Phenotype-Guided Immunomodulatory Strategies and Intensive Care Outcomes in Septic Shock: A Single-Center Retrospective Cohort Study.,2026,10.1097/shk.0000000000002813,41949586,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1097/mcc.0000000000001357,Early management of acute heart failure.,2026,10.1097/mcc.0000000000001357,41580995,Q2_AHF_to_CS,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.2196/73283,Early Prediction of Delirium in Postcardiac Surgery Patients: Machine Learning Model Development and External Validation.,2026,10.2196/73283,41672478,Q7_MIMIC_transportability,pass1_title_metadata,adjacent_perioperative_or_procedure_population
doi:10.1097/pts.0000000000001436,Early Recognition of Hemodynamic Deterioration in Hospitalized Children Using Situational Awareness Vital Electronic Scout Software.,2026,10.1097/pts.0000000000001436,42307902,Q4_ICU_hemodynamic_deterioration,pass1_title_metadata,ineligible_population_pediatric_or_pregnancy
doi:10.3389/fmed.2026.1835766,Early risk prediction model for intra-abdominal hypertension in adult ICU patients: a prospective cohort study.,2026,10.3389/fmed.2026.1835766,42210964,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,insufficient_topic_relevance
doi:10.1002/1744-9987.70179,Early Vasoactive-Inotropic Response Trajectories After Polymyxin B Hemoperfusion in Septic Shock: A Single-Center Retrospective Cohort Study.,2026,10.1002/1744-9987.70179,42415421,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1016/j.hrtlng.2026.102746,Effect of the cardiac troponin-T trajectory on the mortality and new-onset atrial fibrillation in patients with sepsis: a retrospective cohort study from the MIMIC IV database.,2026,10.1016/j.hrtlng.2026.102746,41764943,Q7_MIMIC_transportability,pass1_title_metadata,mortality_only_without_early_deterioration_focus
doi:10.3390/ai7070259,eGFR-AI: A Stacked Machine-Learning Model for Early Postoperative Kidney Function Prediction—A Pilot Study,2026,10.3390/ai7070259,,CR5_prediction_methods,pass1_title_metadata,adjacent_perioperative_or_procedure_population
doi:10.1080/0886022x.2026.2685354,Elevated atherogenic index of plasma is associated with severe acute kidney injury in critically ill patients with cardiovascular disease - a MIMIC-IV analysis with external validation in the eICU-CRD database.,2026,10.1080/0886022x.2026.2685354,42312375,Q7_MIMIC_transportability,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1016/j.iccn.2025.104203,"Escalation metrics, clinical nuance, and the early warning Score paradox – Letter on Ede et al.",2026,10.1016/j.iccn.2025.104203,,CR3_ICU_HD,pass1_title_metadata,insufficient_topic_relevance
doi:10.1016/j.iccn.2025.104229,"Escalation metrics, clinical nuance, and the early warning score paradox – Response to Chen et al.",2026,10.1016/j.iccn.2025.104229,,CR3_ICU_HD,pass1_title_metadata,insufficient_topic_relevance
doi:10.1016/j.archger.2025.106082,An explainable machine learning model for comorbidity risk stratification in patients with fractures admitted to the intensive care unit: a multicenter study.,2026,10.1016/j.archger.2025.106082,41253039,Q7_MIMIC_transportability,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.2196/57025,Explainable Multitask Burnout Prediction Using Adaptive Deep Learning (EMBRACE) for Resident Physicians: Algorithm Development and Validation Study,2026,10.2196/57025,,CR5_prediction_methods,pass1_title_metadata,insufficient_topic_relevance
doi:10.21203/rs.3.rs-9889524/v1,External Validation and Calibration of Hybrid Deep–Boosted Ensembles for Breast Cancer Survival Prediction: A Cross-Cohort Study on SEER and METABRIC,2026,10.21203/rs.3.rs-9889524/v1,,CR5_prediction_methods,pass1_title_metadata,unrelated_clinical_domain
doi:10.1056/aioa2500823,External Validation of a Commercially Available AI Tool for Nasogastric Tube Position Decision Support in the NHS: A Prospective Silent Trial,2026,10.1056/aioa2500823,,CR5_prediction_methods,pass1_title_metadata,insufficient_topic_relevance
doi:10.1007/s10029-026-03600-2,External validation of the Penn hernia risk calculator: an evaluation of model transportability for incisional hernia prediction in open pancreatic surgery,2026,10.1007/s10029-026-03600-2,,CR6_transportability,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.7717/peerj.21050/fig-5,"Figure 5: ROC curves assessing nomogram performance for PSCI prediction in training, internal validation, and external validation cohorts for the (A) standard-criteria model and (B) age-corrected model.",2026,10.7717/peerj.21050/fig-5,,CR5_prediction_methods,pass1_title_metadata,insufficient_topic_relevance
doi:10.64898/2026.01.25.26344809,Foundation Model Robustness to Technical Acquisition Parameters in Chest X-Ray AI: A Multi-Architecture Comparative Study with External Validation,2026,10.64898/2026.01.25.26344809,,CR5_prediction_methods,pass1_title_metadata,insufficient_topic_relevance
doi:10.1186/s13054-026-05962-6,Frailty and long-term mortality in cardiogenic shock: a binational multicentre cohort study.,2026,10.1186/s13054-026-05962-6,41882780,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.64898/2026.04.08.26350403,From Chaos to Care: Personalized AI for Early Cardiac Arrhythmia Warning,2026,10.64898/2026.04.08.26350403,,CR3_ICU_HD,pass1_title_metadata,insufficient_topic_relevance
doi:10.1093/ehjdh/ztaf150,From haemodynamics to kidney risk: AI-based early prediction validated in general and burn ICU populations.,2026,10.1093/ehjdh/ztaf150,41574040,Q2_AHF_to_CS,pass1_title_metadata,insufficient_topic_relevance
doi:10.1177/08850666261442828,From Static Midline Venous Pressure Comparison to Dynamic Fluid Responsiveness Prediction: A Suggested Future Direction,2026,10.1177/08850666261442828,,CR4_dynamic_EHR,pass1_title_metadata,insufficient_topic_relevance
doi:10.1016/b978-0-443-11869-2.00021-7,Heart Failure and Cardiogenic Shock in Acute Coronary Syndromes,2026,10.1016/b978-0-443-11869-2.00021-7,,CR2_CS_early_warning,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.21203/rs.3.rs-10309995/v1,Hybrid Explainable AI for Early Sepsis Prediction with Actionable Lead Time and Clinical Utility Validation,2026,10.21203/rs.3.rs-10309995/v1,,CR5_prediction_methods,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
doi:10.1017/s1047951126111913,Hyperacute effects of non-code dose bolus epinephrine in paediatric cardiac intensive care patients: insights from high-fidelity physiologic data.,2026,10.1017/s1047951126111913,41878889,Q5_dynamic_EHR_landmark_leakage,pass1_title_metadata,ineligible_population_pediatric_or_pregnancy
doi:10.1016/j.jaccas.2026.107643,Hypothermia With Prominent Electrocardiographic Changes Following Liver Transplantation.,2026,10.1016/j.jaccas.2026.107643,42165465,Q4_ICU_hemodynamic_deterioration,pass1_title_metadata,adjacent_perioperative_or_procedure_population
doi:10.1016/j.neurot.2026.e00896,Identification of vital sign trajectory phenotypes and treatment response heterogeneity in critically ill patients with ischemic stroke: A multicenter study with external validation.,2026,10.1016/j.neurot.2026.e00896,41955668,Q7_MIMIC_transportability,pass1_title_metadata,insufficient_topic_relevance
doi:10.1093/biomtc/ujag019,Improving transportability of regression calibration under the main/external validation study design,2026,10.1093/biomtc/ujag019,,CR6_transportability,pass1_title_metadata,lower_direct_relevance_than_quota_selected_record
