record_id,title,doi,pmid,pmcid,access_route,oa_authorization_evidence_url,license_or_evidence,status,local_path,mime,bytes,page_count,sha256,failure_or_manual_action
R020,Development and external validation of a dynamic risk score for early prediction of cardiogenic shock in cardiac intensive care units using machine learning.,10.1093/ehjacc/zuae037,38518758,PMC11214586,OA_path_unresolved_or_fetch_blocked,https://www.ncbi.nlm.nih.gov/pmc/articles/11214586,OpenAlex oa_status=green; license=unspecified; SI=no,manual_authorized_retrieval_required,,,,,,"OA/full-text landing evidence exists, but no verified main PDF was obtained (automated status=pdf_fetch_failed; detail=not_fulltext_html). Use only manual authorized retrieval; Phase 2 did not inspect Zotero. No SI downloaded."
R021,Using Machine Learning for Early Prediction of Cardiogenic Shock in Patients With Acute Heart Failure.,10.1016/j.jscai.2022.100308,39131966,PMC11307874,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11307874/,PMC OA dataset canonical main PDF; article license=CC BY-NC-ND; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC11307874.1/PMC11307874.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R021/PDFs/Using_Machine_Learning_for_Early_Prediction_of_Cardiogenic_Shock_in_Patients_With_Acute_Heart_Failure..pdf,application/pdf,632236,6,1a6a7f85a54f868dbfc3a6c3a4a0b9ec3ef9bcd5301b5cd5ecb89533aaad287f,
R022,Early Prediction of Cardiogenic Shock Using Machine Learning,10.3389/fcvm.2022.862424,35911549,PMC9326048,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9326048/,PMC OA dataset canonical main PDF; article license=CC BY; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC9326048.1/PMC9326048.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R022/PDFs/Early_Prediction_of_Cardiogenic_Shock_Using_Machine_Learning.pdf,application/pdf,1334736,11,9e3c47afcb3be95c0c7bc4450c036bd1969a47abf4dc9948f97c514948b9c649,
R023,Predictors of Progression to Low Cardiac Output or Cardiogenic Shock in Patients Hospitalized for Acute Heart Failure.,10.1016/j.amjcard.2026.03.076,42019741,,OA_only_search_exhausted,https://doi.org/10.1016/j.amjcard.2026.03.076,OpenAlex oa_status=closed; no authorized OA main PDF identified; SI=no,no_authorized_pdf_found,,,,,,"No authorized OA main PDF was identified in the audited routes. If the user has authorized access or a Zotero attachment, Phase 3 may reconcile it read-only; Phase 2 did not inspect Zotero. No paywall bypass and no SI download."
R024,Artificial Intelligence in the Early Prediction of Cardiogenic Shock in Acute Heart Failure or Myocardial Infarction Patients: A Systematic Review and Meta-Analysis.,10.7759/cureus.50395,38213372,PMC10783597,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC10783597/,PMC OA dataset canonical main PDF; article license=CC BY; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC10783597.1/PMC10783597.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R024/PDFs/Artificial_Intelligence_in_the_Early_Prediction_of_Cardiogenic_Shock_in_Acute_Heart_Failure_or_Myocardial_Infarction_Patients_A_Systematic_R.pdf,application/pdf,281731,9,32e0c8a49eda09d3e94801d01e8387ed95cadbcb0842e79992267214e1cdff7d,
R025,SCAI Cardiogenic Shock Classification for Predicting In-Hospital and Long-Term Mortality in Acute Heart Failure.,10.1016/j.jscai.2022.100496,39132349,PMC11307609,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11307609/,PMC OA dataset canonical main PDF; article license=CC BY-NC-ND; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC11307609.1/PMC11307609.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R025/PDFs/SCAI_Cardiogenic_Shock_Classification_for_Predicting_In-Hospital_and_Long-Term_Mortality_in_Acute_Heart_Failure..pdf,application/pdf,825890,7,d324bed11eacc365c821d292c94ce0105591d80da837cf7b4e943b4c3316f67f,
R026,Machine Learning for Prediction of Outcomes in Cardiogenic Shock.,10.3389/fcvm.2022.849688,35600489,PMC9120613,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9120613/,PMC OA dataset canonical main PDF; article license=CC BY; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC9120613.1/PMC9120613.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R026/PDFs/Machine_Learning_for_Prediction_of_Outcomes_in_Cardiogenic_Shock..pdf,application/pdf,653058,9,b567422544249d834094b1b43cf33433f92a84a9a3d3ba45ec331301ac321f08,
R028,Cardiogenic Shock Classification to Predict Mortality in the Cardiac Intensive Care Unit.,10.1016/j.jacc.2019.07.077,31548097,,OA_only_search_exhausted,https://doi.org/10.1016/j.jacc.2019.07.077,OpenAlex oa_status=closed; no authorized OA main PDF identified; SI=no,no_authorized_pdf_found,,,,,,"No authorized OA main PDF was identified in the audited routes. If the user has authorized access or a Zotero attachment, Phase 3 may reconcile it read-only; Phase 2 did not inspect Zotero. No paywall bypass and no SI download."
R029,Shock in the cardiac intensive care unit: Changes in epidemiology and prognosis over time.,10.1016/j.ahj.2020.10.054,33257304,,OA_only_search_exhausted,https://doi.org/10.1016/j.ahj.2020.10.054,OpenAlex oa_status=closed; no authorized OA main PDF identified; SI=no,no_authorized_pdf_found,,,,,,"No authorized OA main PDF was identified in the audited routes. If the user has authorized access or a Zotero attachment, Phase 3 may reconcile it read-only; Phase 2 did not inspect Zotero. No paywall bypass and no SI download."
R032,SCAI clinical expert consensus statement on the classification of cardiogenic shock,10.1002/ccd.28329,31104355,,OA_path_unresolved_or_fetch_blocked,https://doi.org/10.1002/ccd.28329,OpenAlex oa_status=bronze; license=unspecified; SI=no,manual_authorized_retrieval_required,,,,,,"OA/full-text landing evidence exists, but no verified main PDF was obtained (automated status=pdf_fetch_failed; detail=HTTP 403). Use only manual authorized retrieval; Phase 2 did not inspect Zotero. No SI downloaded."
R037,Survival prediction for heart failure complicated by sepsis: based on machine learning methods,10.3389/fmed.2024.1410702,39421876,PMC11484001,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11484001/,PMC OA dataset canonical main PDF; article license=CC BY; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC11484001.1/PMC11484001.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R037/PDFs/Survival_prediction_for_heart_failure_complicated_by_sepsis_based_on_machine_learning_methods.pdf,application/pdf,927612,12,77f3ad92bc14229606a6b502a6c29a36cec6cc86a06ed5e7e2a132d28da59dd2,
R038,Shock Severity Assessment in Cardiac Intensive Care Unit Patients With Sepsis and Mixed Septic-Cardiogenic Shock.,10.1016/j.mayocpiqo.2021.11.008,35005436,PMC8715298,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC8715298/,PMC OA dataset canonical main PDF; article license=CC BY-NC-ND; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC8715298.1/PMC8715298.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R038/PDFs/Shock_Severity_Assessment_in_Cardiac_Intensive_Care_Unit_Patients_With_Sepsis_and_Mixed_Septic-Cardiogenic_Shock..pdf,application/pdf,461218,8,29060fc2d1fe0b9948e731431d95c04ea8a9fdc01019a7c8062142a52fcdfe3e,
R039,Assessment of Outcomes in Patients with Heart Failure and End-Stage Kidney Disease after Fluid Resuscitation for Sepsis and Septic Shock.,10.1016/j.jemermed.2024.02.001,38777707,,OA_only_search_exhausted,https://doi.org/10.1016/j.jemermed.2024.02.001,OpenAlex oa_status=closed; no authorized OA main PDF identified; SI=no,no_authorized_pdf_found,,,,,,"No authorized OA main PDF was identified in the audited routes. If the user has authorized access or a Zotero attachment, Phase 3 may reconcile it read-only; Phase 2 did not inspect Zotero. No paywall bypass and no SI download."
R040,Fluid resuscitation and outcomes in heart failure patients with severe sepsis or septic shock: A retrospective case-control study.,10.1371/journal.pone.0256368,34411178,PMC8376054,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC8376054/,PMC OA dataset canonical main PDF; article license=CC BY; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC8376054.1/PMC8376054.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R040/PDFs/Fluid_resuscitation_and_outcomes_in_heart_failure_patients_with_severe_sepsis_or_septic_shock_A_retrospective_case-control_study..pdf,application/pdf,585248,12,3c0b68cf8bd3dd863e1ade3f7c88b813ef70c3d6f6b7d444e1227c5f4160f7d3,
R043,Impact of initial fluid resuscitation volume on clinical outcomes in patients with heart failure and septic shock.,10.1016/j.jointm.2023.05.001,37533810,PMC10391556,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC10391556/,PMC OA dataset canonical main PDF; article license=CC BY-NC-ND; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC10391556.1/PMC10391556.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R043/PDFs/Impact_of_initial_fluid_resuscitation_volume_on_clinical_outcomes_in_patients_with_heart_failure_and_septic_shock..pdf,application/pdf,476066,7,34b49a499b2be8b059574fc769f0d46801253a8cedb28e011df39d0f4a7e62ef,
R045,Association between fluid balance and mortality for heart failure and sepsis: a propensity score-matching analysis.,10.1186/s12871-022-01865-5,36273128,PMC9587660,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9587660/,PMC OA dataset canonical main PDF; article license=CC BY; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC9587660.1/PMC9587660.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R045/PDFs/Association_between_fluid_balance_and_mortality_for_heart_failure_and_sepsis_a_propensity_score-matching_analysis..pdf,application/pdf,1193859,9,3079c77de2f130fee8518602cea2c65e37ed03d9efe4c1dce306d54fd99b3dbe,
R046,Association Between Preexisting Heart Failure With Reduced Ejection Fraction and Fluid Administration Among Patients With Sepsis.,10.1001/jamanetworkopen.2022.35331,36205995,PMC9547322,OA_path_unresolved_or_fetch_blocked,https://doi.org/10.1001/jamanetworkopen.2022.35331,OpenAlex oa_status=gold; license=cc-by; SI=no,manual_authorized_retrieval_required,,,,,,"OA/full-text landing evidence exists, but no verified main PDF was obtained (automated status=oa_not_found). Use only manual authorized retrieval; Phase 2 did not inspect Zotero. No SI downloaded."
R049,Optimal fluid resuscitation targets in septic patients with acutely decompensated heart failure.,10.1186/s12916-024-03715-2,39448976,PMC11520127,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11520127/,PMC OA dataset canonical main PDF; article license=CC BY-NC-ND; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC11520127.1/PMC11520127.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R049/PDFs/Optimal_fluid_resuscitation_targets_in_septic_patients_with_acutely_decompensated_heart_failure..pdf,application/pdf,1907106,15,c8ba6441da73504c739aea2a4dd93b4f2c50a1153a6167a1b145bea18836d4a1,
R050,Therapeutic Dilemmas in Mixed Septic-Cardiogenic Shock.,10.1016/j.amjmed.2022.09.022,36252709,,OA_only_search_exhausted,https://doi.org/10.1016/j.amjmed.2022.09.022,OpenAlex oa_status=closed; no authorized OA main PDF identified; SI=no,no_authorized_pdf_found,,,,,,"No authorized OA main PDF was identified in the audited routes. If the user has authorized access or a Zotero attachment, Phase 3 may reconcile it read-only; Phase 2 did not inspect Zotero. No paywall bypass and no SI download."
R055,Machine learning-based early warning system for hemodynamic deterioration in cardiovascular ICU patients: a bidirectional cross-validation study.,10.3389/fcvm.2025.1694001,41647804,PMC12868282,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12868282/,PMC OA dataset canonical main PDF; article license=CC BY; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC12868282.1/PMC12868282.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R055/PDFs/Machine_learning-based_early_warning_system_for_hemodynamic_deterioration_in_cardiovascular_ICU_patients_a_bidirectional_cross-validation_st.pdf,application/pdf,1244151,13,a9ebe18c81e189f5e122edef25450ab2a32020bdf9842300f616caac329e3573,
R056,Early prediction of circulatory failure in the intensive care unit using machine learning.,10.1038/s41591-020-0789-4,32152583,,OA_path_unresolved_or_fetch_blocked,https://doi.org/10.1038/s41591-020-0789-4,OpenAlex oa_status=bronze; license=unspecified; SI=no,manual_authorized_retrieval_required,,,,,,"OA/full-text landing evidence exists, but no verified main PDF was obtained (automated status=pdf_fetch_failed; detail=not_fulltext_html). Use only manual authorized retrieval; Phase 2 did not inspect Zotero. No SI downloaded."
R058,A Delphi Process to Identify Relevant Outcomes That May Be Associated With a Predictive Analytic Tool to Detect Hemodynamic Deterioration in the Intensive Care Unit.,10.7759/cureus.50169,38186415,PMC10771798,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC10771798/,PMC OA dataset canonical main PDF; article license=CC BY; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC10771798.1/PMC10771798.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R058/PDFs/A_Delphi_Process_to_Identify_Relevant_Outcomes_That_May_Be_Associated_With_a_Predictive_Analytic_Tool_to_Detect_Hemodynamic_Deterioration_in.pdf,application/pdf,404186,10,79c07b86de2d1f83f6721d3204bdec5c075910eb9bf7261212721f95ea4d27b4,
R071,Using the landmark method for creating prediction models in large datasets derived from electronic health records,10.1007/s10729-014-9281-3,24752545,,OA_only_search_exhausted,https://doi.org/10.1007/s10729-014-9281-3,OpenAlex oa_status=closed; no authorized OA main PDF identified; SI=no,no_authorized_pdf_found,,,,,,"No authorized OA main PDF was identified in the audited routes. If the user has authorized access or a Zotero attachment, Phase 3 may reconcile it read-only; Phase 2 did not inspect Zotero. No paywall bypass and no SI download."
R072,Dynamic prediction of life-threatening events for patients in intensive care unit.,10.1186/s12911-022-02026-x,36273130,PMC9587604,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9587604/,PMC OA dataset canonical main PDF; article license=CC BY; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC9587604.1/PMC9587604.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R072/PDFs/Dynamic_prediction_of_life-threatening_events_for_patients_in_intensive_care_unit..pdf,application/pdf,2049805,10,6c8ddeab7f722ed85ee6f1132a251cdc97b306f84b1fa7b7f66f38be02aea1c7,
R081,Leakage and the reproducibility crisis in machine-learning-based science,10.1016/j.patter.2023.100804,37720327,PMC10499856,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC10499856/,PMC OA dataset canonical main PDF; article license=CC BY; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC10499856.1/PMC10499856.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R081/PDFs/Leakage_and_the_reproducibility_crisis_in_machine-learning-based_science.pdf,application/pdf,2905915,13,3d367f74dd82e70b5491655d50470898db4ce20e16148a9e43dc01b249a7e273,
R083,TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods.,10.1136/bmj-2023-078378,38626948,PMC11019967,publisher_OA_main_pdf,https://doi.org/10.1136/bmj-2023-078378,Publisher/repository OA main PDF; OpenAlex oa_status=hybrid; license=cc-by; source_pdf=https://www.bmj.com/content/bmj/385/bmj-2023-078378.full.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R083/PDFs/TRIPOD+AI_statement_updated_guidance_for_reporting_clinical_prediction_models_that_use_regression_or_machine_learning_methods..pdf,application/pdf,293345,14,c4814b9e1f5595b963539ce4207062b131de72e20fa6e71831824728baf18e73,
R084,"PROBAST+AI: an updated quality, risk of bias, and applicability assessment tool for prediction models using regression or artificial intelligence methods",10.1136/bmj-2024-082505,40127903,PMC11931409,publisher_OA_main_pdf,https://doi.org/10.1136/bmj-2024-082505,Publisher/repository OA main PDF; OpenAlex oa_status=hybrid; license=cc-by-nc; source_pdf=https://www.bmj.com/content/bmj/388/bmj-2024-082505.full.pdf; SI=no,verified_main_pdf,"/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R084/PDFs/PROBAST+AI_an_updated_quality,_risk_of_bias,_and_applicability_assessment_tool_for_prediction_models_using_regression_or_artificial_intellig.pdf",application/pdf,267312,15,2512e4acead3bf2226cb744e4b1385fa6fa6dcc1747105e873efb5ffb761c4d5,
R089,Minimum sample size for external validation of a clinical prediction model with a binary outcome.,10.1002/sim.9025,34031906,,OA_path_unresolved_or_fetch_blocked,https://doi.org/10.1002/sim.9025,OpenAlex oa_status=hybrid; license=cc-by; SI=no,manual_authorized_retrieval_required,,,,,,"OA/full-text landing evidence exists, but no verified main PDF was obtained (automated status=pdf_fetch_failed; detail=HTTP 502). Use only manual authorized retrieval; Phase 2 did not inspect Zotero. No SI downloaded."
R093,Calibration: the Achilles heel of predictive analytics.,10.1186/s12916-019-1466-7,31842878,PMC6912996,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC6912996/,PMC OA dataset canonical main PDF; article license=CC BY; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC6912996.1/PMC6912996.1.pdf; SI=no,verified_main_pdf,/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R093/PDFs/Calibration_the_Achilles_heel_of_predictive_analytics..pdf,application/pdf,634444,7,8f847b0d3261ff54973c94b39762f9dc381e4e9ecad9b16bc9e310823f7be31c,
R095,"MIMIC-IV, a freely accessible electronic health record dataset",10.1038/s41597-022-01899-x,36596836,PMC9810617,PMC_OA_S3_main_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9810617/,PMC OA dataset canonical main PDF; article license=CC BY; source_pdf=https://pmc-oa-opendata.s3.amazonaws.com/PMC9810617.1/PMC9810617.1.pdf; SI=no,verified_main_pdf,"/Users/zheyu/Desktop/CS_AHF_landmark24/literature_workspace/02_literature_discovery/fulltext_downloads/by_record/R095/PDFs/MIMIC-IV,_a_freely_accessible_electronic_health_record_dataset.pdf",application/pdf,1381608,9,b8e1dbc0fe547ee24bcabcb7c5e5576a7a19d6966e8b8f2c3c4559d103731a1c,
