domain,source_table,source_field_or_concept,required_tier,time_fields_required,unit_or_format_required,analysis_role,notes
vitals,vitals_long,RR,required,event_time;chart_time,breaths/min,predictor,Retain all valid raw records
vitals,vitals_long,SpO2,required,event_time;chart_time,percent,predictor,Retain all valid raw records
vitals,vitals_long,temperature,required,event_time;chart_time,C or F,predictor,State unit explicitly
support,respiratory_support_long,respiratory_device,required,start_time;end_time;chart_time,coded value,predictor,NIV invasive ventilation HFNC and oxygen
support,fluid_io_long,urine_output,required,event_time;chart_time,mL,predictor and shock audit,No daily-only aggregate
support,fluid_io_long,fluid_input,preferred,event_time;chart_time,mL; solution type,predictor audit,Keep crystalloid and blood products distinguishable
support,neurologic_assessment_long,GCS,required,event_time;chart_time,total and components,predictor,State sedation flag where available
encounter,encounter_icu,icu_patient_flag,required,intime;outtime,0/1,strict DHF eligibility,Must identify an index ICU stay; do not infer ICU status from diagnosis or procedure alone
text,radiology_report_long,chest_radiology_report,required,exam_time;prelim_time;final_time;sign_time;revision_time,deidentified text,pre-T0 objective evidence,Include report type and body region
text,echocardiography_report_long,echo_exam_type,required,exam_time,coded value TTE TEE POCUS bedside_echo,strict DHF eligibility,Keep TTE TEE cardiac POCUS and bedside echo distinguishable
text,echocardiography_report_long,echo_performed_flag,required,exam_time,0/1,strict DHF eligibility,Actual completed examination not order only
text,echocardiography_report_long,echo_result_available_flag,required,exam_time;result_available_time,0/1,strict DHF eligibility,Result must be available before T12
text,echocardiography_report_long,echo_abnormal_support_flag,required,exam_time;result_available_time,0/1,strict DHF eligibility,Must be supported by result content and not procedure flag alone
text,echocardiography_report_long,echo_report_and_measurements,required,exam_time;report_time;sign_time;result_available_time,deidentified text plus structured values,strict DHF eligibility,Keep report evidence fragments raw values and units
text,echocardiography_report_long,echo_abnormality_components,required,exam_time;result_available_time,structured coded values,strict DHF eligibility,LVEF LV/RV function diastolic function valves pulmonary pressure IVC pericardium
text,echocardiography_report_long,echo_quality_and_review,required,report_time,quality code plus review status,phenotype QC,Retain image quality negation uncertainty and manual review status
text,clinical_note_long,ED_admission_consult_notes,required,event_time;create_time;availability_time;sign_time,deidentified text or audited concepts,pre-T0 clinical evidence,Do not substitute discharge summary
procedure,procedure_device_long,mechanical_circulatory_support,required,start_time;end_time;chart_time,coded procedure,shock/outcome audit,IABP ECMO Impella VAD
procedure,procedure_device_long,dialysis_CRRT,preferred,start_time;end_time;chart_time,coded procedure,AKI/CKD audit,Not a default exclusion
microbiology,microbiology_long,culture_collection,optional,collection_time;result_time;verification_time,specimen type; result,early-sepsis subgroup,Collection time is primary
metadata,all_tables,source_record_id,required,record_time,stable token,traceability,Unique raw-record key
metadata,all_tables,data_version_and_extract_date,required,none,version string,traceability,Record EHR and ETL version
